invoice_month,invoice_month_label,sales_revenue,sales_orders,returned_value,return_orders
0010-12-01,0010-12,572713.89,1400,74789.12,396
0011-01-01,0011-01,569445.04,987,131364.3,356
0011-02-01,0011-02,447137.35,997,25569.24,267
0011-03-01,0011-03,595500.76,1321,34372.28,452
0011-04-01,0011-04,469200.361,1149,44601.5,426
0011-05-01,0011-05,678594.56,1555,47202.51,431
0011-06-01,0011-06,661213.69,1393,70616.78,436
0011-07-01,0011-07,600091.011,1331,37921.08,387
0011-08-01,0011-08,645343.9,1280,54333.75,328
0011-09-01,0011-09,952838.382,1755,38902.55,431
0011-10-01,0011-10,1039318.79,1929,84274.63,508
0011-11-01,0011-11,1161817.38,2657,47740.08,578
0011-12-01,0011-12,518210.79,778,205124.67,176
