pareto_rank,product_label,stock_code,product_description,sales_revenue,sales_quantity,sales_orders,returned_quantity,return_orders,return_rate_pct,revenue_share_pct,cumulative_revenue_pct
1,"001. 23843 - PAPER CRAFT , LITTLE BIRDIE",23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,80995,1,100.0,1.89,1.89
2,002. 22423 - REGENCY CAKESTAND 3 TIER,22423,REGENCY CAKESTAND 3 TIER,142592.95,12402,1703,910,183,7.34,1.6,3.49
3,003. 85123A - WHITE HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,100603.5,36782,1978,2834,43,7.7,1.13,4.62
4,004. 85099B - JUMBO BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,85220.78,46181,1600,1115,43,2.41,0.96,5.58
5,005. 23166 - MEDIUM CERAMIC TOP STORAGE JAR,23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73,77916,195,74494,10,95.61,0.91,6.49
6,006. POST - POSTAGE,POST,POSTAGE,77821.96,3121,1100,147,124,4.71,0.87,7.36
7,007. 47566 - PARTY BUNTING,47566,PARTY BUNTING,68844.33,15291,1379,277,20,1.81,0.77,8.14
8,008. 84879 - ASSORTED COLOUR BIRD ORNAMENT,84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375,240,13,0.68,0.63,8.77
9,009. M - Manual,M,Manual,53779.93,7173,253,4066,223,56.68,0.6,9.37
10,010. 23084 - RABBIT NIGHT LIGHT,23084,RABBIT NIGHT LIGHT,51346.2,27202,801,1076,18,3.96,0.58,9.95
11,011. 22502 - PICNIC BASKET WICKER SMALL,22502,PICNIC BASKET WICKER SMALL,47366.2,1488,234,175,10,11.76,0.53,10.48
12,012. 79321 - CHILLI LIGHTS,79321,CHILLI LIGHTS,46286.51,9650,519,80,6,0.83,0.52,11.0
13,013. 22086 - PAPER CHAIN KIT 50'S CHRISTMAS,22086,PAPER CHAIN KIT 50'S CHRISTMAS,42660.83,15617,980,453,10,2.9,0.48,11.48
14,014. 21137 - BLACK RECORD COVER FRAME,21137,BLACK RECORD COVER FRAME,39064.55,11406,313,40,6,0.35,0.44,11.92
15,015. 23203 - JUMBO BAG VINTAGE DOILY,23203,JUMBO BAG VINTAGE DOILY,37684.38,19516,1080,590,17,3.02,0.42,12.34
16,016. 22386 - JUMBO BAG PINK POLKADOT,22386,JUMBO BAG PINK POLKADOT,37289.59,20165,871,456,13,2.26,0.42,12.76
17,017. 22197 - SMALL POPCORN HOLDER,22197,SMALL POPCORN HOLDER,37226.43,49183,1035,471,50,0.96,0.42,13.18
18,018. 23298 - SPOTTY BUNTING,23298,SPOTTY BUNTING,36173.95,7785,1009,110,12,1.41,0.41,13.58
19,019. 23284 - DOORMAT KEEP CALM AND COME IN,23284,DOORMAT KEEP CALM AND COME IN,35913.85,5342,648,240,8,4.49,0.4,13.99
20,020. 82484 - WOOD BLACK BOARD ANT WHITE FINISH,82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604,24,11,0.41,0.39,14.37
